Which village cinema did you last visit to watch a movie?,Is this the regular Village cinema which you attend?,Which day of the week did you attend the Village cinema on your last visit?,How convenient were the available session times for the movie you watched?,Approximately how long did it take for you to reach the cinema from home on your last visit?,"Including your most recent visit, how frequently have you been to the movies in the past 3 months?",Was the session you last attended a Gold Class screen?,How would you rate the overall cleanliness of the cinema?,How would you rate the size of the screen in your last movie session?,How would you rate the picture quality of the screen in your last movie session?,How would you rate the quality of the sound for the cinema you were in?,How would you rate the comfort and size of your seat for the cinema you were in?,How would you rate temperature in the cinema you were in?,Staffing levels were adequate with reasonable wait times,How would you rate the friendliness of our staff?,"How would you rate the cleanliness of the amenities, such as bathrooms?",Are you a Vrewards member?,Did you purchase any food or drinks from our Snack Bar or Gold Class menu?,How would you rate the overall selection of our food?,How would you rate the quality of our food?,How would you rate the price of our food?,"Based on your last experience, how likely would you recommend the Village cinema you visited to a friend or colleague?",Have you ever received or would you gift someone a movie experience?,Would you like to receive news and special offers from Village?,What is your name?,What is your email address?
Knox,Yes,Thursday,Inconvient,Less than 10 minutes,More than 6 times,Yes,5,1,4,2,3,Way too cold,Strongly disagree,9,5,No,No,NA,NA,NA,0,No,Yes,Adalyn Torres,Adalyn.Torres@bigpond.net.au
Karingal,Yes,Monday,Inconvient,More than 1 hour,4-6 times,Yes,6,5,6,1,7,A little warm,Neither agree nor disagree,0,2,No,No,NA,NA,NA,3,Yes,No,NA,NA
Morwell,No,Tuesday,Very Inconvenient,Less than 10 minutes,2-3 times,NA,1,9,5,1,1,A little cool,Agree,8,4,No,No,NA,NA,NA,0,Yes,Yes,Luke Rodriguez,Luke.Rodriguez@bigpond.com
Sunshine,Yes,Sunday,Very Convenient,More than 1 hour,4-6 times,No,4,5,1,8,4,A little cool,Strongly agree,6,3,No,No,NA,NA,NA,1,Yes,Yes,Aubrey Thompson,Aubrey.Thompson@bigpond.com
Airport West,No,Wednesday,Convenient,Less than 10 minutes,Once,NA,9,10,4,2,4,Way too cold,Neither agree nor disagree,8,6,No,Yes,4,9,1,8,No,No,NA,NA
Shepparton,No,Sunday,Convenient,Less than 1 hour,2-3 times,NA,5,2,6,6,9,Just right,Agree,6,5,No,Yes,10,1,2,5,Yes,No,NA,NA
Bendigo,Yes,Sunday,Very Convenient,Less than 10 minutes,4-6 times,No,4,4,4,8,1,Just right,Neither agree nor disagree,7,9,No,No,NA,NA,NA,9,No,Yes,Mila Nelson,Mila.Nelson@hotmail.com
Knox,No,Tuesday,Inconvient,Less than 30 minutes,Once,No,9,7,0,4,1,Just right,Strongly disagree,1,7,No,No,NA,NA,NA,1,Yes,Yes,Olivia Perry,Olivia.Perry@bigpond.com
Knox,No,Thursday,Indifferent,Less than 30 minutes,More than 6 times,No,5,9,5,10,9,Just right,Strongly disagree,10,1,Yes,No,NA,NA,NA,10,Yes,No,NA,NA
Geelong,No,Monday,Convenient,Less than 30 minutes,4-6 times,No,4,0,8,10,8,Just right,Agree,4,4,No,Yes,8,2,7,6,No,No,NA,NA
Century City,No,Wednesday,Indifferent,Less than 10 minutes,2-3 times,No,8,8,1,5,6,Just right,Neither agree nor disagree,6,10,No,Yes,0,10,5,7,No,No,NA,NA
Knox,Yes,Friday,Indifferent,Less than 1 hour,2-3 times,No,7,2,2,10,10,Way too cold,Strongly disagree,4,2,Yes,Yes,3,8,10,2,No,Yes,Gabriel Price,Gabriel.Price@msn.com
Bendigo,Yes,Tuesday,Inconvient,Less than 30 minutes,Once,No,3,4,1,4,2,A little warm,Strongly agree,2,3,No,No,NA,NA,NA,4,Yes,Yes,Michael Nelson,Michael.Nelson@mail.com
Morwell,No,Monday,Convenient,Less than 10 minutes,4-6 times,NA,3,6,7,9,10,Way too cold,Strongly agree,2,1,Yes,Yes,6,3,8,8,Yes,Yes,Adalyn Kumar,Adalyn.Kumar@mail.com
Sunshine,No,Monday,Very Inconvenient,Less than 1 hour,2-3 times,No,9,4,4,9,7,Way too cold,Strongly disagree,0,1,Yes,No,NA,NA,NA,6,Yes,Yes,Connor Morales,Connor.Morales@mail.com
Bendigo,Yes,Sunday,Convenient,Less than 30 minutes,2-3 times,No,8,9,0,10,5,Way too cold,Strongly agree,2,3,No,Yes,7,1,5,0,No,Yes,Maidson Bennett,Maidson.Bennett@yahoo.com.au
Coburg Drive-In,No,Tuesday,Convenient,More than 1 hour,More than 6 times,NA,8,6,8,9,9,A little cool,Strongly agree,3,0,No,Yes,1,7,10,8,Yes,Yes,Mateo Fisher,Mateo.Fisher@gmail.com
Crown,No,Tuesday,Very Inconvenient,More than 1 hour,4-6 times,No,10,10,6,7,9,A little cool,Strongly agree,8,3,Yes,Yes,4,4,2,8,Yes,No,NA,NA
Jam Factory,No,Monday,Very Convenient,Less than 10 minutes,More than 6 times,Yes,1,3,3,3,10,Way too hot,Strongly agree,0,8,No,No,NA,NA,NA,5,No,No,NA,NA
Albury,Yes,Thursday,Convenient,More than 1 hour,Once,Yes,4,1,1,6,9,Way too hot,Neither agree nor disagree,5,8,No,Yes,7,7,10,7,No,No,NA,NA
Coburg Drive-In,No,Sunday,Convenient,More than 1 hour,2-3 times,NA,0,10,4,8,2,A little cool,Strongly agree,7,5,Yes,No,NA,NA,NA,8,No,Yes,Caleb Lopez,Caleb.Lopez@gmail.com
Karingal,Yes,Tuesday,Convenient,Less than 30 minutes,Once,No,6,3,4,1,5,Way too hot,Disagree,6,8,No,No,NA,NA,NA,10,No,Yes,Aaliyah Jackson,Aaliyah.Jackson@mailinator.com
Hobart,No,Thursday,Convenient,Less than 10 minutes,2-3 times,No,5,8,7,5,9,A little cool,Disagree,5,3,Yes,No,NA,NA,NA,8,Yes,Yes,Ethan Brown,Ethan.Brown@mailinator.com
Southland,No,Wednesday,Inconvient,Less than 30 minutes,More than 6 times,No,1,9,1,4,9,Just right,Neither agree nor disagree,0,8,No,No,NA,NA,NA,0,Yes,No,NA,NA
Bendigo,No,Sunday,Convenient,Less than 1 hour,2-3 times,No,2,1,5,4,10,Way too cold,Neither agree nor disagree,1,6,Yes,Yes,0,9,0,7,No,Yes,Levi Reed,Levi.Reed@hotmail.com
Launceston,Yes,Saturday,Very Inconvenient,More than 1 hour,2-3 times,NA,7,9,4,6,0,Just right,Neither agree nor disagree,10,2,No,No,NA,NA,NA,6,No,No,NA,NA
Glenorchy,Yes,Wednesday,Convenient,Less than 10 minutes,Once,NA,3,6,3,1,5,Just right,Agree,9,2,No,Yes,2,8,4,4,No,Yes,Jackson Peterson,Jackson.Peterson@yahoo.com.au
Doncaster,Yes,Monday,Inconvient,More than 1 hour,Once,Yes,5,4,2,10,3,Way too cold,Neither agree nor disagree,6,0,No,No,NA,NA,NA,2,Yes,Yes,James Cox,James.Cox@mail.com
Sunshine,No,Friday,Inconvient,Less than 30 minutes,2-3 times,Yes,7,1,4,4,10,Just right,Neither agree nor disagree,3,10,No,No,NA,NA,NA,8,No,Yes,Jacob Davis,Jacob.Davis@optusnet.com.au
Werribee,Yes,Saturday,Indifferent,Less than 1 hour,Once,Yes,10,1,0,6,7,Way too hot,Strongly disagree,5,1,Yes,Yes,10,5,6,3,No,No,NA,NA
Warnambool,No,Friday,Convenient,More than 1 hour,Once,NA,9,10,2,9,0,A little warm,Strongly agree,8,5,No,No,NA,NA,NA,0,Yes,Yes,Olivia Torres,Olivia.Torres@mailinator.com
Geelong,No,Friday,Convenient,Less than 30 minutes,Once,Yes,4,0,4,0,2,A little warm,Strongly agree,9,6,No,Yes,6,9,8,7,Yes,Yes,David Martin,David.Martin@outlook.com
Launceston,No,Saturday,Indifferent,More than 1 hour,4-6 times,NA,6,4,2,5,10,A little cool,Disagree,3,10,No,Yes,8,5,0,6,No,No,NA,NA
Fountain Gate,No,Sunday,Indifferent,Less than 1 hour,4-6 times,Yes,8,9,5,10,2,A little cool,Agree,6,6,No,No,NA,NA,NA,4,No,No,NA,NA
Bendigo,No,Thursday,Convenient,Less than 30 minutes,More than 6 times,Yes,5,8,10,5,9,Way too hot,Strongly disagree,4,6,No,Yes,10,1,8,5,No,Yes,Muhammad Lopez,Muhammad.Lopez@gmail.com
Doncaster,No,Sunday,Indifferent,Less than 10 minutes,2-3 times,Yes,9,10,8,9,8,A little cool,Disagree,4,5,Yes,No,NA,NA,NA,9,No,No,NA,NA
Fountain Gate,Yes,Monday,Very Convenient,Less than 10 minutes,Once,No,2,3,6,5,2,Way too cold,Strongly disagree,4,4,Yes,No,NA,NA,NA,4,No,Yes,Nathan Gray,Nathan.Gray@bigpond.net.au
Albury,No,Wednesday,Inconvient,Less than 30 minutes,Once,No,5,9,4,3,10,A little warm,Neither agree nor disagree,6,10,No,Yes,1,4,3,3,Yes,Yes,Jacob Johnson,Jacob.Johnson@live.com.au
Rosebud,Yes,Friday,Convenient,Less than 30 minutes,2-3 times,NA,2,9,2,1,3,Just right,Strongly disagree,10,7,No,Yes,4,6,10,10,No,No,NA,NA
Warragul,No,Friday,Convenient,More than 1 hour,Once,NA,4,5,0,1,0,Way too hot,Strongly disagree,2,9,Yes,No,NA,NA,NA,5,No,No,NA,NA
Coburg Drive-In,No,Thursday,Indifferent,Less than 30 minutes,2-3 times,NA,2,4,2,8,10,Just right,Disagree,7,4,Yes,Yes,6,6,1,2,Yes,No,NA,NA
Doncaster,Yes,Wednesday,Very Inconvenient,Less than 10 minutes,More than 6 times,Yes,3,1,5,1,4,A little warm,Disagree,3,1,Yes,No,NA,NA,NA,3,No,Yes,William Reyes,William.Reyes@mail.com
Sorrento,Yes,Wednesday,Inconvient,More than 1 hour,4-6 times,NA,1,6,9,0,2,A little cool,Neither agree nor disagree,9,5,No,No,NA,NA,NA,2,Yes,Yes,Madelyn Mitchell,Madelyn.Mitchell@hotmail.com
Glenorchy,Yes,Sunday,Very Convenient,Less than 30 minutes,Once,NA,2,0,4,6,1,Way too hot,Strongly agree,4,6,No,No,NA,NA,NA,3,Yes,Yes,Ethan Lopez,Ethan.Lopez@mail.com
Plenty Valley,No,Thursday,Indifferent,Less than 10 minutes,Once,Yes,1,3,6,7,9,Way too cold,Agree,6,8,No,Yes,2,1,7,8,No,Yes,Ellie Jackson,Ellie.Jackson@gmail.com
Plenty Valley,Yes,Thursday,Very Inconvenient,Less than 1 hour,More than 6 times,No,7,3,5,8,2,A little cool,Neither agree nor disagree,3,3,Yes,Yes,8,4,8,0,No,No,NA,NA
Doncaster,Yes,Friday,Very Inconvenient,Less than 30 minutes,Once,Yes,9,2,10,1,6,Just right,Disagree,6,6,No,No,NA,NA,NA,9,Yes,Yes,Avery Martin,Avery.Martin@mailinator.com
Coburg Drive-In,Yes,Sunday,Very Inconvenient,Less than 10 minutes,2-3 times,NA,8,2,5,9,0,Way too hot,Agree,8,4,Yes,No,NA,NA,NA,8,Yes,No,NA,NA
Werribee,No,Saturday,Indifferent,Less than 30 minutes,More than 6 times,Yes,3,2,5,2,10,A little cool,Agree,0,8,Yes,Yes,0,4,8,10,No,No,NA,NA
Eastlands,No,Wednesday,Very Convenient,Less than 30 minutes,More than 6 times,NA,5,0,1,10,10,A little cool,Disagree,10,2,No,No,NA,NA,NA,2,No,Yes,Matthew Garcia,Matthew.Garcia@optusnet.com.au
Warnambool,No,Friday,Very Convenient,Less than 1 hour,More than 6 times,NA,9,7,2,6,1,Way too hot,Strongly disagree,5,10,No,Yes,10,4,3,4,Yes,Yes,Isaiah Torres,Isaiah.Torres@optusnet.com.au
Sorrento,Yes,Saturday,Indifferent,Less than 30 minutes,Once,NA,10,9,6,6,2,Way too hot,Disagree,10,5,No,No,NA,NA,NA,5,No,No,NA,NA
Doncaster,No,Thursday,Very Inconvenient,Less than 30 minutes,Once,No,5,4,4,5,7,Just right,Strongly disagree,7,4,No,Yes,0,0,7,4,No,No,NA,NA
Fountain Gate,Yes,Sunday,Very Inconvenient,More than 1 hour,4-6 times,Yes,4,0,8,0,8,Just right,Strongly disagree,6,7,No,No,NA,NA,NA,7,No,No,NA,NA
Southland,Yes,Wednesday,Indifferent,Less than 30 minutes,4-6 times,Yes,6,7,5,3,8,Way too hot,Agree,4,9,Yes,No,NA,NA,NA,10,No,No,NA,NA
Jam Factory,Yes,Monday,Convenient,Less than 10 minutes,2-3 times,Yes,7,7,8,10,10,Just right,Strongly agree,6,0,Yes,No,NA,NA,NA,9,No,No,NA,NA
Karingal,Yes,Wednesday,Convenient,More than 1 hour,More than 6 times,No,3,8,8,0,6,Just right,Strongly disagree,1,5,Yes,No,NA,NA,NA,4,Yes,Yes,Maidson Stewart,Maidson.Stewart@outlook.com
Century City,No,Thursday,Inconvient,Less than 1 hour,4-6 times,No,0,8,10,5,10,Way too cold,Agree,6,3,No,No,NA,NA,NA,3,No,No,NA,NA
Sunshine,Yes,Monday,Inconvient,Less than 30 minutes,More than 6 times,No,7,3,7,4,1,Just right,Strongly agree,10,1,No,No,NA,NA,NA,4,No,Yes,Hailey Collins,Hailey.Collins@live.com.au
Albury,No,Wednesday,Very Convenient,More than 1 hour,More than 6 times,No,8,8,1,4,0,A little warm,Agree,6,3,Yes,No,NA,NA,NA,4,No,No,NA,NA
Morwell,Yes,Sunday,Very Convenient,Less than 30 minutes,More than 6 times,NA,0,7,9,4,4,Way too hot,Neither agree nor disagree,1,4,Yes,No,NA,NA,NA,10,No,Yes,Victoria Gray,Victoria.Gray@live.com.au
Albury,Yes,Saturday,Very Inconvenient,Less than 1 hour,4-6 times,No,9,7,8,6,10,A little cool,Disagree,2,6,No,No,NA,NA,NA,8,Yes,No,NA,NA
Launceston,No,Thursday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,0,0,4,2,7,A little cool,Strongly disagree,7,8,Yes,No,NA,NA,NA,9,No,Yes,Hannah Richardson,Hannah.Richardson@live.com.au
Fountain Gate,Yes,Tuesday,Inconvient,Less than 30 minutes,Once,Yes,9,6,7,3,4,Just right,Agree,6,4,No,Yes,8,5,3,8,No,Yes,Samuel Parker,Samuel.Parker@optusnet.com.au
Warragul,No,Monday,Very Convenient,Less than 1 hour,Once,NA,5,5,3,9,2,A little cool,Neither agree nor disagree,1,9,Yes,No,NA,NA,NA,5,No,Yes,Jayce Richardson,Jayce.Richardson@gmail.com
Jam Factory,Yes,Sunday,Indifferent,More than 1 hour,More than 6 times,No,9,8,2,0,6,A little cool,Neither agree nor disagree,10,6,Yes,Yes,7,3,2,1,Yes,No,NA,NA
Shepparton,No,Monday,Indifferent,Less than 10 minutes,2-3 times,NA,7,9,10,5,10,Way too hot,Strongly disagree,8,2,Yes,No,NA,NA,NA,0,Yes,No,NA,NA
Rivoli,Yes,Tuesday,Inconvient,Less than 1 hour,2-3 times,No,5,3,5,1,4,Just right,Disagree,9,8,No,Yes,3,8,2,0,No,Yes,Hailey Lopez,Hailey.Lopez@yahoo.com.au
Crown,Yes,Tuesday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,9,9,4,2,5,Way too hot,Strongly disagree,9,7,Yes,Yes,4,1,5,4,No,Yes,Noah Roberts,Noah.Roberts@hotmail.com
Jam Factory,No,Monday,Indifferent,Less than 1 hour,More than 6 times,Yes,8,9,5,6,1,Way too hot,Strongly disagree,6,7,No,Yes,0,7,0,5,No,Yes,Aaliyah Perez,Aaliyah.Perez@mail.com
Century City,Yes,Monday,Inconvient,Less than 1 hour,Once,Yes,4,6,4,8,8,Way too cold,Strongly agree,9,0,No,Yes,10,1,3,7,Yes,Yes,Sophia Harris,Sophia.Harris@live.com.au
Glenorchy,No,Sunday,Inconvient,Less than 30 minutes,Once,NA,2,7,4,8,5,A little cool,Neither agree nor disagree,0,3,Yes,No,NA,NA,NA,2,Yes,Yes,Elijah Harris,Elijah.Harris@mail.com
Karingal,No,Tuesday,Convenient,Less than 10 minutes,Once,Yes,2,9,4,1,6,Way too hot,Neither agree nor disagree,5,8,No,Yes,7,8,6,1,Yes,Yes,Jack Lopez,Jack.Lopez@live.com.au
Sorrento,No,Thursday,Convenient,Less than 1 hour,4-6 times,NA,0,5,6,8,8,Way too hot,Agree,4,7,No,Yes,8,5,3,4,Yes,No,NA,NA
Hobart,No,Saturday,Very Convenient,Less than 10 minutes,More than 6 times,Yes,1,6,7,7,8,Way too cold,Neither agree nor disagree,2,1,Yes,Yes,8,0,6,9,No,No,NA,NA
Eastlands,No,Tuesday,Convenient,More than 1 hour,2-3 times,NA,10,5,7,5,10,A little warm,Agree,9,2,No,No,NA,NA,NA,6,Yes,No,NA,NA
Shepparton,Yes,Friday,Inconvient,Less than 30 minutes,4-6 times,NA,0,5,2,1,6,A little warm,Neither agree nor disagree,5,6,Yes,Yes,6,9,10,1,Yes,No,NA,NA
Launceston,Yes,Monday,Very Convenient,Less than 30 minutes,More than 6 times,NA,8,4,9,7,7,Way too hot,Agree,9,4,No,No,NA,NA,NA,6,No,No,NA,NA
Warragul,No,Friday,Convenient,More than 1 hour,4-6 times,NA,2,4,5,0,4,Way too hot,Disagree,3,10,Yes,Yes,8,3,0,9,No,No,NA,NA
Coburg Drive-In,Yes,Saturday,Very Inconvenient,Less than 10 minutes,More than 6 times,NA,4,4,6,0,10,A little warm,Disagree,6,5,No,Yes,7,9,0,8,Yes,No,NA,NA
Knox,Yes,Monday,Convenient,More than 1 hour,2-3 times,Yes,5,5,1,2,7,Just right,Strongly disagree,9,10,Yes,No,NA,NA,NA,6,Yes,No,NA,NA
Bendigo,No,Monday,Very Convenient,Less than 1 hour,4-6 times,No,5,6,8,5,6,Just right,Disagree,10,2,Yes,No,NA,NA,NA,1,Yes,Yes,Nathan Bell,Nathan.Bell@mailinator.com
Albury,Yes,Sunday,Very Inconvenient,More than 1 hour,2-3 times,Yes,3,2,4,7,6,A little warm,Agree,10,2,No,No,NA,NA,NA,8,Yes,No,NA,NA
Airport West,No,Tuesday,Inconvient,Less than 1 hour,Once,NA,5,5,7,6,4,A little cool,Strongly agree,7,7,Yes,No,NA,NA,NA,0,No,Yes,Connor Lee,Connor.Lee@gmail.com
Albury,Yes,Sunday,Very Inconvenient,Less than 10 minutes,2-3 times,No,9,10,0,3,2,A little warm,Neither agree nor disagree,4,7,Yes,Yes,5,6,5,1,No,No,NA,NA
Fountain Gate,Yes,Saturday,Inconvient,Less than 30 minutes,2-3 times,Yes,0,8,7,6,1,A little cool,Strongly disagree,0,9,Yes,No,NA,NA,NA,0,Yes,Yes,Kinsley Howard,Kinsley.Howard@mail.com
Plenty Valley,Yes,Wednesday,Convenient,Less than 30 minutes,4-6 times,Yes,2,6,4,5,7,Just right,Disagree,0,1,No,No,NA,NA,NA,10,Yes,No,NA,NA
Coburg Drive-In,No,Monday,Indifferent,Less than 1 hour,4-6 times,NA,3,2,9,0,2,Way too cold,Agree,1,10,No,No,NA,NA,NA,3,No,No,NA,NA
Hobart,Yes,Tuesday,Indifferent,More than 1 hour,4-6 times,Yes,4,3,3,10,8,A little warm,Neither agree nor disagree,3,0,No,Yes,8,3,6,7,No,No,NA,NA
Morwell,No,Friday,Very Inconvenient,Less than 1 hour,4-6 times,NA,4,0,0,6,7,Just right,Disagree,4,6,No,No,NA,NA,NA,4,Yes,Yes,Addison Perez,Addison.Perez@live.com.au
Century City,Yes,Thursday,Inconvient,Less than 1 hour,Once,Yes,8,7,0,9,9,Way too cold,Strongly agree,7,2,No,No,NA,NA,NA,1,Yes,Yes,Maya Lewis,Maya.Lewis@yahoo.com.au
Fountain Gate,Yes,Thursday,Very Inconvenient,Less than 1 hour,4-6 times,Yes,9,8,7,10,1,A little warm,Agree,8,9,No,No,NA,NA,NA,1,No,Yes,Ryan Rodriguez,Ryan.Rodriguez@msn.com
Hobart,No,Tuesday,Convenient,Less than 30 minutes,4-6 times,No,3,8,0,1,1,Just right,Agree,8,10,No,Yes,8,9,1,3,No,Yes,Arianna Evans,Arianna.Evans@live.com.au
Airport West,Yes,Tuesday,Indifferent,More than 1 hour,Once,NA,0,9,1,9,9,A little cool,Strongly disagree,4,1,Yes,Yes,9,6,5,8,Yes,No,NA,NA
Coburg Drive-In,No,Monday,Convenient,More than 1 hour,4-6 times,NA,10,4,10,1,3,Way too hot,Strongly disagree,9,0,No,Yes,4,4,0,4,No,Yes,Carter Hill,Carter.Hill@bigpond.net.au
Jam Factory,Yes,Thursday,Indifferent,More than 1 hour,More than 6 times,No,4,0,1,8,10,Just right,Strongly agree,4,7,No,Yes,0,5,0,7,Yes,No,NA,NA
Bendigo,No,Saturday,Indifferent,Less than 1 hour,2-3 times,Yes,0,8,6,5,1,Just right,Agree,1,4,No,Yes,0,9,6,8,No,Yes,Cameron Ward,Cameron.Ward@msn.com
Fountain Gate,No,Sunday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,0,10,6,3,4,Just right,Disagree,9,1,No,No,NA,NA,NA,2,Yes,No,NA,NA
Warragul,Yes,Wednesday,Very Inconvenient,Less than 30 minutes,More than 6 times,NA,2,10,9,10,7,Just right,Strongly disagree,2,10,Yes,Yes,3,9,6,9,No,Yes,Avery Brown,Avery.Brown@yahoo.com.au
Glenorchy,No,Saturday,Very Convenient,More than 1 hour,More than 6 times,NA,4,5,4,5,3,A little warm,Disagree,9,7,Yes,No,NA,NA,NA,3,Yes,Yes,Layla Walker,Layla.Walker@mail.com
Warnambool,No,Sunday,Inconvient,Less than 10 minutes,Once,NA,7,5,5,4,5,Just right,Disagree,6,9,No,No,NA,NA,NA,2,Yes,No,NA,NA
Southland,No,Tuesday,Indifferent,Less than 1 hour,Once,Yes,5,1,5,1,0,Way too cold,Disagree,3,4,Yes,No,NA,NA,NA,5,No,Yes,Isabella Ryan,Isabella.Ryan@outlook.com
Rivoli,Yes,Sunday,Indifferent,Less than 30 minutes,4-6 times,Yes,2,10,6,6,10,A little cool,Agree,3,7,No,Yes,4,1,2,4,Yes,Yes,Layla Murphy,Layla.Murphy@mail.com
Airport West,Yes,Tuesday,Very Convenient,Less than 1 hour,4-6 times,NA,5,5,5,10,4,Way too hot,Neither agree nor disagree,0,8,No,Yes,3,9,9,6,Yes,No,NA,NA
Morwell,Yes,Wednesday,Very Convenient,Less than 1 hour,2-3 times,NA,2,9,6,1,10,Way too cold,Strongly agree,10,0,No,Yes,0,4,9,6,Yes,No,NA,NA
Glenorchy,No,Tuesday,Inconvient,Less than 1 hour,4-6 times,NA,2,0,2,0,3,A little warm,Neither agree nor disagree,1,2,Yes,No,NA,NA,NA,3,No,No,NA,NA
Sunshine,No,Monday,Inconvient,Less than 30 minutes,More than 6 times,No,7,10,1,7,4,Way too cold,Agree,10,10,No,Yes,2,4,2,0,No,No,NA,NA
Morwell,Yes,Saturday,Indifferent,More than 1 hour,4-6 times,NA,7,7,9,8,9,Just right,Strongly agree,1,5,Yes,Yes,7,6,2,9,No,No,NA,NA
Werribee,Yes,Friday,Indifferent,More than 1 hour,2-3 times,Yes,0,10,2,8,0,A little warm,Agree,8,1,Yes,No,NA,NA,NA,3,No,No,NA,NA
Plenty Valley,Yes,Tuesday,Convenient,Less than 10 minutes,4-6 times,Yes,10,2,9,5,2,A little cool,Neither agree nor disagree,2,5,Yes,No,NA,NA,NA,3,No,Yes,Logan Bailey,Logan.Bailey@mailinator.com
Jam Factory,No,Thursday,Inconvient,Less than 30 minutes,4-6 times,No,0,8,8,4,4,A little warm,Strongly agree,7,4,No,Yes,9,2,10,1,Yes,Yes,Levi Gray,Levi.Gray@outlook.com
Airport West,Yes,Sunday,Indifferent,Less than 1 hour,Once,NA,7,0,0,1,3,A little cool,Neither agree nor disagree,4,1,No,Yes,9,4,8,9,Yes,No,NA,NA
Rivoli,No,Tuesday,Very Convenient,More than 1 hour,4-6 times,No,10,5,3,6,7,Way too cold,Strongly disagree,0,1,Yes,No,NA,NA,NA,3,No,Yes,Mackenzie Wang,Mackenzie.Wang@gmail.com
Crown,Yes,Tuesday,Convenient,More than 1 hour,4-6 times,Yes,7,5,8,9,9,A little cool,Neither agree nor disagree,6,5,No,No,NA,NA,NA,2,No,Yes,Adam Bennett,Adam.Bennett@msn.com
Southland,Yes,Wednesday,Very Inconvenient,Less than 10 minutes,More than 6 times,No,5,6,0,6,0,A little warm,Agree,2,9,Yes,No,NA,NA,NA,1,No,No,NA,NA
Warnambool,Yes,Sunday,Very Inconvenient,Less than 1 hour,Once,NA,2,5,9,1,10,A little cool,Agree,10,10,No,Yes,3,0,8,8,Yes,Yes,Gabriel Roberts,Gabriel.Roberts@yahoo.com.au
Rosebud,No,Friday,Very Inconvenient,Less than 1 hour,4-6 times,NA,9,8,2,10,0,Just right,Disagree,1,5,No,No,NA,NA,NA,2,No,Yes,Ryan Lewis,Ryan.Lewis@gmail.com
Albury,No,Wednesday,Indifferent,Less than 1 hour,More than 6 times,No,2,7,10,2,0,Just right,Neither agree nor disagree,6,6,No,No,NA,NA,NA,2,Yes,No,NA,NA
Sunshine,Yes,Thursday,Very Convenient,Less than 1 hour,More than 6 times,No,4,0,8,3,2,Way too cold,Neither agree nor disagree,4,6,Yes,Yes,2,6,9,8,No,Yes,Ellie Peterson,Ellie.Peterson@live.com.au
Fountain Gate,No,Friday,Indifferent,More than 1 hour,4-6 times,No,5,0,1,9,3,A little cool,Strongly agree,10,2,No,Yes,10,8,5,1,Yes,No,NA,NA
Eastlands,Yes,Monday,Indifferent,Less than 30 minutes,More than 6 times,NA,4,0,8,6,7,A little warm,Agree,2,10,No,Yes,1,10,9,9,Yes,Yes,Cameron Perez,Cameron.Perez@hotmail.com
Southland,No,Saturday,Very Convenient,More than 1 hour,2-3 times,No,1,9,0,3,5,Just right,Neither agree nor disagree,2,1,Yes,Yes,2,5,10,7,No,Yes,Charlotte Collins,Charlotte.Collins@live.com.au
Launceston,No,Wednesday,Indifferent,Less than 10 minutes,More than 6 times,NA,1,3,10,8,10,Way too hot,Agree,3,0,No,No,NA,NA,NA,0,No,Yes,Aubrey Kumar,Aubrey.Kumar@bigpond.com
Werribee,No,Friday,Indifferent,More than 1 hour,4-6 times,No,9,2,10,1,10,Way too cold,Strongly disagree,9,6,Yes,No,NA,NA,NA,6,No,No,NA,NA
Werribee,Yes,Wednesday,Indifferent,Less than 1 hour,Once,Yes,6,0,8,4,1,A little warm,Strongly agree,10,10,Yes,Yes,8,7,6,6,Yes,Yes,Muhammad Kelly,Muhammad.Kelly@yahoo.com.au
Werribee,No,Thursday,Indifferent,Less than 10 minutes,2-3 times,No,2,10,1,5,4,Way too cold,Strongly agree,2,2,No,No,NA,NA,NA,6,Yes,Yes,Evelyn Campbell,Evelyn.Campbell@mailinator.com
Karingal,No,Wednesday,Convenient,Less than 10 minutes,Once,Yes,0,3,5,6,8,Way too cold,Agree,2,0,Yes,Yes,3,9,1,8,Yes,Yes,Kinsley Cook,Kinsley.Cook@msn.com
Rivoli,No,Saturday,Inconvient,More than 1 hour,4-6 times,No,9,2,7,5,1,A little warm,Strongly agree,1,2,No,Yes,4,0,5,0,No,Yes,Logan Watson,Logan.Watson@optusnet.com.au
Launceston,Yes,Sunday,Inconvient,Less than 1 hour,Once,NA,8,7,7,1,6,Way too hot,Strongly agree,8,7,Yes,Yes,8,7,1,4,Yes,Yes,Jayden Williams,Jayden.Williams@mailinator.com
Launceston,Yes,Monday,Very Inconvenient,Less than 30 minutes,2-3 times,NA,0,7,5,6,2,A little warm,Disagree,10,8,Yes,No,NA,NA,NA,2,Yes,Yes,Jayden Carter,Jayden.Carter@live.com.au
Eastlands,No,Saturday,Very Inconvenient,Less than 1 hour,Once,NA,1,10,4,7,0,Way too hot,Strongly disagree,2,1,No,Yes,7,4,10,7,No,Yes,Anna Evans,Anna.Evans@live.com.au
Eastlands,No,Wednesday,Indifferent,Less than 10 minutes,Once,NA,4,5,2,4,3,Way too cold,Strongly disagree,5,8,No,No,NA,NA,NA,9,Yes,No,NA,NA
